county_fips,state,rurality,total_population,pop_65_plus,pct_65_plus,pct_seniors_living_alone,broadband_access_pct,primary_care_per_100k,home_health_agencies_per_10k_seniors,meals_on_wheels_coverage_pct,transit_access_score,senior_poverty_pct,medicare_advantage_pct,senior_food_insecurity_pct,senior_fall_hospitalizations_per_1k,caregiver_distance_gap_pct,clinical_access_score,social_infrastructure_score,economic_security_score,physical_safety_score,digital_access_score,food_security_score,caregiver_proximity_score,aipr_index,readiness_tier,cluster_id,archetype
1293,NC,Rural,11978,4062,33.92,25.0,86.77,32.31,1.05,41.87,17.96,11.26,49.25,14.47,23.83,53.53,17.42,32.99,53.85,22.84,83.47,57.1,40.67,38.93,Critical,3,"Fragile (avg 47) — relatively weak in food security, relatively strong in digital access"
1359,IL,Small town,37558,6151,16.38,29.04,85.12,52.85,3.19,42.25,46.24,9.19,60.2,17.88,16.0,50.5,35.64,47.96,65.9,55.36,81.24,37.01,45.0,50.62,At risk,3,"Fragile (avg 47) — relatively weak in food security, relatively strong in digital access"
1406,KY,Suburban,94926,11736,12.36,25.93,88.63,66.14,2.27,36.36,53.55,16.38,56.49,18.2,13.95,55.62,38.79,48.02,37.58,63.87,85.99,35.12,37.69,48.0,At risk,3,"Fragile (avg 47) — relatively weak in food security, relatively strong in digital access"
1546,NM,Suburban,140626,22627,16.09,18.52,87.06,71.91,1.13,26.97,36.12,9.8,37.2,11.37,11.81,44.93,37.38,32.99,54.55,72.76,83.86,75.37,52.96,54.61,At risk,1,"Adequate (avg 61) — relatively weak in economic security, relatively strong in digital access"
1768,IL,Rural,10474,3250,31.04,32.93,43.98,27.15,0.58,24.44,3.18,10.72,70.12,21.21,23.62,36.28,13.1,14.22,64.11,23.71,25.65,17.38,65.31,29.42,Critical,0,"High-risk (avg 35) — relatively weak in digital access, relatively strong in economic security"
1982,VA,Rural,11628,3138,26.99,10.57,54.54,13.98,1.62,62.2,11.98,5.22,65.22,9.95,15.16,50.65,10.46,42.78,82.72,58.85,39.92,83.74,44.79,47.11,At risk,2,"Fragile (avg 47) — relatively weak in digital access, relatively strong in food security"
1989,MO,Urban,130034,18592,14.3,24.32,93.08,107.04,1.93,39.6,98.0,9.13,39.38,14.04,15.9,42.98,57.82,73.23,57.91,55.77,92.0,59.63,55.74,63.23,Adequate,1,"Adequate (avg 61) — relatively weak in economic security, relatively strong in digital access"
2075,UT,Urban,125009,18495,14.79,23.28,87.76,96.44,1.42,53.75,71.96,11.17,69.14,12.88,15.64,46.73,50.65,68.65,62.04,56.85,84.81,66.47,50.39,60.96,Adequate,1,"Adequate (avg 61) — relatively weak in economic security, relatively strong in digital access"
2190,OH,Small town,5281,1114,21.09,27.89,71.57,47.84,0.86,57.39,14.71,9.08,56.58,12.04,16.4,29.62,24.42,41.14,64.89,53.7,62.93,71.42,74.83,50.98,At risk,1,"Adequate (avg 61) — relatively weak in economic security, relatively strong in digital access"
2218,LA,Urban,200519,27445,13.69,30.37,94.54,88.26,2.63,32.25,58.27,8.65,49.81,13.33,20.92,31.09,51.12,47.87,63.82,34.93,93.97,63.82,72.73,57.82,Adequate,1,"Adequate (avg 61) — relatively weak in economic security, relatively strong in digital access"
